key_date,race_H,goal_H,field_cd_H,from_H,career_c_H,race_F,goal_F,field_cd_F,from_F,career_c_F
53_35_2,2,2,4,178,4,2,1,2,83,7
55_30_2,1,6,1,133,1,2,1,1,178,1
55_31_2,1,6,1,133,1,2,1,1,197,1
55_38_2,1,6,1,133,1,1,1,1,90,1
66_60_3,3,2,8,52,7,6,4,3,2,6
67_62_3,6,6,1,160,1,3,2,1,191,1
67_63_3,6,6,1,160,1,4,3,1,222,10
69_56_3,2,6,8,199,7,2,1,11,78,9
69_62_3,2,6,8,199,7,3,2,1,191,1
70_56_3,2,5,8,155,7,2,1,11,78,9
71_57_3,2,5,1,1,14,2,3,11,2,9
71_61_3,2,5,1,1,14,2,1,7,227,2
74_62_3,2,5,5,207,5,3,2,1,191,1
75_61_3,6,6,1,98,1,2,1,7,227,2
75_64_3,6,6,1,98,1,4,2,11,90,9
94_76_4,4,2,8,16,7,2,2,6,192,2
94_77_4,4,2,8,16,7,2,1,11,1,11
94_82_4,4,2,8,16,7,6,1,9,24,2
95_93_4,2,1,8,114,7,2,1,5,177,2
97_77_4,2,2,10,80,2,2,1,11,1,11
97_86_4,2,2,10,80,2,2,2,3,71,2
97_91_4,2,2,10,80,2,6,1,1,133,1
97_92_4,2,2,10,80,2,2,5,9,165,7
97_93_4,2,2,10,80,2,2,1,5,177,2
98_77_4,2,4,11,176,2,2,1,11,1,11
98_92_4,2,4,11,176,2,2,5,9,165,7
99_77_4,2,3,1,90,1,2,1,11,1,11
99_81_4,2,3,1,90,1,2,5,6,109,6
99_82_4,2,3,1,90,1,6,1,9,24,2
99_83_4,2,3,1,90,1,3,2,8,96,7
99_87_4,2,3,1,90,1,2,1,11,79,9
99_89_4,2,3,1,90,1,2,1,8,143,2
99_91_4,2,3,1,90,1,6,1,1,133,1
99_92_4,2,3,1,90,1,2,5,9,165,7
100_86_4,6,1,8,143,2,2,2,3,71,2
100_93_4,6,1,8,143,2,2,1,5,177,2
102_80_4,2,1,10,150,2,4,1,10,76,2
103_91_4,2,2,8,27,7,6,1,1,133,1
104_79_4,2,2,10,32,2,4,2,5,37,5
104_81_4,2,2,10,32,2,2,5,6,109,6
104_86_4,2,2,10,32,2,2,2,3,71,2
104_89_4,2,2,10,32,2,2,1,8,143,2
104_93_4,2,2,10,32,2,2,1,5,177,2
105_76_4,1,2,1,109,1,2,2,6,192,2
105_77_4,1,2,1,109,1,2,1,11,1,11
105_80_4,1,2,1,109,1,4,1,10,76,2
105_82_4,1,2,1,109,1,6,1,9,24,2
105_84_4,1,2,1,109,1,3,2,10,171,4
105_86_4,1,2,1,109,1,2,2,3,71,2
105_91_4,1,2,1,109,1,6,1,1,133,1
105_92_4,1,2,1,109,1,2,5,9,165,7
106_78_4,3,5,1,109,1,3,2,11,192,11
106_91_4,3,5,1,109,1,6,1,1,133,1
107_76_4,2,1,7,57,2,2,2,6,192,2
107_77_4,2,1,7,57,2,2,1,11,1,11
107_78_4,2,1,7,57,2,3,2,11,192,11
107_79_4,2,1,7,57,2,4,2,5,37,5
107_82_4,2,1,7,57,2,6,1,9,24,2
107_83_4,2,1,7,57,2,3,2,8,96,7
107_85_4,2,1,7,57,2,2,2,11,137,9
107_86_4,2,1,7,57,2,2,2,3,71,2
107_87_4,2,1,7,57,2,2,1,11,79,9
107_91_4,2,1,7,57,2,6,1,1,133,1
107_92_4,2,1,7,57,2,2,5,9,165,7
108_79_4,2,1,5,207,5,4,2,5,37,5
108_81_4,2,1,5,207,5,2,5,6,109,6
108_84_4,2,1,5,207,5,3,2,10,171,4
108_86_4,2,1,5,207,5,2,2,3,71,2
109_76_4,4,1,14,48,6,2,2,6,192,2
109_78_4,4,1,14,48,6,3,2,11,192,11
109_80_4,4,1,14,48,6,4,1,10,76,2
109_82_4,4,1,14,48,6,6,1,9,24,2
109_86_4,4,1,14,48,6,2,2,3,71,2
109_90_4,4,1,14,48,6,4,2,10,65,10
109_91_4,4,1,14,48,6,6,1,1,133,1
109_92_4,4,1,14,48,6,2,5,9,165,7
110_76_4,2,2,14,116,6,2,2,6,192,2
110_86_4,2,2,14,116,6,2,2,3,71,2
110_91_4,2,2,14,116,6,6,1,1,133,1
110_92_4,2,2,14,116,6,2,5,9,165,7
122_112_5,6,1,1,114,1,6,1,3,2,11
122_116_5,6,1,1,114,1,2,1,13,219,10
122_120_5,6,1,1,114,1,3,5,6,93,6
125_112_5,2,1,4,34,4,6,1,3,2,11
125_113_5,2,1,4,34,4,2,1,8,74,10
125_115_5,2,1,4,34,4,2,1,3,163,3
125_116_5,2,1,4,34,4,2,1,13,219,10
125_117_5,2,1,4,34,4,2,1,8,93,7
125_119_5,2,1,4,34,4,3,1,16,212,1
125_120_5,2,1,4,34,4,3,5,6,93,6
126_112_5,2,4,7,189,4,6,1,3,2,11
126_113_5,2,4,7,189,4,2,1,8,74,10
127_112_5,2,6,5,41,6,6,1,3,2,11
127_115_5,2,6,5,41,6,2,1,3,163,3
127_116_5,2,6,5,41,6,2,1,13,219,10
127_119_5,2,6,5,41,6,3,1,16,212,1
128_112_5,2,1,5,218,5,6,1,3,2,11
128_113_5,2,1,5,218,5,2,1,8,74,10
128_115_5,2,1,5,218,5,2,1,3,163,3
128_119_5,2,1,5,218,5,3,1,16,212,1
128_120_5,2,1,5,218,5,3,5,6,93,6
129_112_5,2,3,8,2,7,6,1,3,2,11
129_116_5,2,3,8,2,7,2,1,13,219,10
129_119_5,2,3,8,2,7,3,1,16,212,1
130_119_5,4,1,5,28,10,3,1,16,212,1
130_120_5,4,1,5,28,10,3,5,6,93,6
137_134_6,4,1,8,90,8,2,1,10,225,2
140_132_6,2,1,8,38,7,2,1,8,113,7
140_135_6,2,1,8,38,7,2,1,3,142,2
141_135_6,3,1,8,21,7,2,1,3,142,2
159_142_7,2,1,10,110,2,2,1,13,20,2
159_153_7,2,1,10,110,2,4,2,7,76,2
160_147_7,1,2,8,100,8,4,5,8,90,7
160_149_7,1,2,8,100,8,2,1,13,146,2
160_156_7,1,2,8,100,8,1,2,8,154,7
161_154_7,2,2,10,121,10,2,6,8,8,7
161_155_7,2,2,10,121,10,2,2,8,59,9
162_144_7,4,2,10,150,4,2,1,10,104,2
162_151_7,4,2,10,150,4,2,3,13,60,9
163_153_7,2,4,9,1,2,4,2,7,76,2
163_154_7,2,4,9,1,2,2,6,8,8,7
163_156_7,2,4,9,1,2,1,2,8,154,7
164_146_7,2,1,7,113,2,2,4,6,90,2
164_152_7,2,1,7,113,2,4,1,13,76,2
165_147_7,2,3,13,194,6,4,5,8,90,7
165_150_7,2,3,13,194,6,2,4,7,8,2
165_152_7,2,3,13,194,6,4,1,13,76,2
166_147_7,6,5,8,81,7,4,5,8,90,7
166_149_7,6,5,8,81,7,2,1,13,146,2
166_154_7,6,5,8,81,7,2,6,8,8,7
167_142_7,2,2,10,35,2,2,1,13,20,2
167_150_7,2,2,10,35,2,2,4,7,8,2
167_152_7,2,2,10,35,2,4,1,13,76,2
168_142_7,4,1,10,120,10,2,1,13,20,2
169_142_7,2,2,10,193,2,2,1,13,20,2
169_147_7,2,2,10,193,2,4,5,8,90,7
169_148_7,2,2,10,193,2,4,5,8,97,7
169_154_7,2,2,10,193,2,2,6,8,8,7
169_157_7,2,2,10,193,2,4,1,8,44,7
171_142_7,2,1,8,219,7,2,1,13,20,2
171_149_7,2,1,8,219,7,2,1,13,146,2
171_153_7,2,1,8,219,7,4,2,7,76,2
171_154_7,2,1,8,219,7,2,6,8,8,7
172_142_7,2,1,8,18,7,2,1,13,20,2
172_147_7,2,1,8,18,7,4,5,8,90,7
172_149_7,2,1,8,18,7,2,1,13,146,2
172_154_7,2,1,8,18,7,2,6,8,8,7
172_156_7,2,1,8,18,7,1,2,8,154,7
173_142_7,2,1,2,79,2,2,1,13,20,2
173_149_7,2,1,2,79,2,2,1,13,146,2
173_151_7,2,1,2,79,2,2,3,13,60,9
173_154_7,2,1,2,79,2,2,6,8,8,7
173_156_7,2,1,2,79,2,1,2,8,154,7
184_174_8,2,2,8,139,7,4,4,8,159,7
184_176_8,2,2,8,139,7,4,2,8,133,7
184_180_8,2,2,8,139,7,4,6,8,46,7
184_183_8,2,2,8,139,7,2,1,11,119,6
185_181_8,4,1,2,61,6,1,1,4,80,2
186_176_8,4,1,5,132,2,4,2,8,133,7
186_178_8,4,1,5,132,2,4,2,3,90,4
186_181_8,4,1,5,132,2,1,1,4,80,2
187_174_8,2,2,8,180,7,4,4,8,159,7
188_175_8,2,2,5,209,2,6,2,13,192,7
190_175_8,2,2,13,111,9,6,2,13,192,7
190_179_8,2,2,13,111,9,3,1,6,133,2
190_181_8,2,2,13,111,9,1,1,4,80,2
191_176_8,2,5,8,218,7,4,2,8,133,7
191_181_8,2,5,8,218,7,1,1,4,80,2
192_180_8,2,1,8,70,7,4,6,8,46,7
193_175_8,4,1,1,105,1,6,2,13,192,7
193_181_8,4,1,1,105,1,1,1,4,80,2
214_196_9,2,1,10,98,2,4,1,7,135,2
214_210_9,2,1,10,98,2,2,2,10,209,2
215_195_9,4,1,8,88,7,2,1,10,62,2
215_199_9,4,1,8,88,7,2,4,7,90,2
215_208_9,4,1,8,88,7,1,2,10,104,7
215_210_9,4,1,8,88,7,2,2,10,209,2
215_212_9,4,1,8,88,7,3,1,8,36,7
217_195_9,2,5,10,31,2,2,1,10,62,2
217_197_9,2,5,10,31,2,6,1,13,198,7
217_199_9,2,5,10,31,2,2,4,7,90,2
217_200_9,2,5,10,31,2,2,1,8,47,9
217_202_9,2,5,10,31,2,2,2,2,158,2
217_208_9,2,5,10,31,2,1,2,10,104,7
217_212_9,2,5,10,31,2,3,1,8,36,7
217_213_9,2,5,10,31,2,3,2,13,5,7
218_206_9,2,1,10,94,2,1,1,8,164,9
219_196_9,2,1,8,207,7,4,1,7,135,2
219_199_9,2,1,8,207,7,2,4,7,90,2
219_207_9,2,1,8,207,7,2,1,10,2,1
219_208_9,2,1,8,207,7,1,2,10,104,7
219_211_9,2,1,8,207,7,2,2,13,148,9
219_212_9,2,1,8,207,7,3,1,8,36,7
220_205_9,6,1,13,108,6,2,1,10,177,2
220_206_9,6,1,13,108,6,1,1,8,164,9
220_208_9,6,1,13,108,6,1,2,10,104,7
221_194_9,4,2,8,86,7,2,3,3,90,3
221_199_9,4,2,8,86,7,2,4,7,90,2
221_205_9,4,2,8,86,7,2,1,10,177,2
221_206_9,4,2,8,86,7,1,1,8,164,9
221_212_9,4,2,8,86,7,3,1,8,36,7
223_206_9,2,2,7,50,2,1,1,8,164,9
224_200_9,2,6,3,33,15,2,1,8,47,9
224_206_9,2,6,3,33,15,1,1,8,164,9
224_208_9,2,6,3,33,15,1,2,10,104,7
224_212_9,2,6,3,33,15,3,1,8,36,7
225_195_9,3,1,8,21,7,2,1,10,62,2
225_206_9,3,1,8,21,7,1,1,8,164,9
226_199_9,2,2,8,195,6,2,4,7,90,2
226_207_9,2,2,8,195,6,2,1,10,2,1
226_208_9,2,2,8,195,6,1,2,10,104,7
226_212_9,2,2,8,195,6,3,1,8,36,7
227_207_9,2,2,8,90,7,2,1,10,2,1
227_208_9,2,2,8,90,7,1,2,10,104,7
227_213_9,2,2,8,90,7,3,2,13,5,7
228_212_9,4,3,10,200,2,3,1,8,36,7
229_195_9,2,1,10,90,7,2,1,10,62,2
229_200_9,2,1,10,90,7,2,1,8,47,9
229_208_9,2,1,10,90,7,1,2,10,104,7
229_210_9,2,1,10,90,7,2,2,10,209,2
230_201_9,2,2,13,55,7,2,1,8,90,7
230_206_9,2,2,13,55,7,1,1,8,164,9
230_208_9,2,2,13,55,7,1,2,10,104,7
230_211_9,2,2,13,55,7,2,2,13,148,9
231_197_9,3,1,13,70,9,6,1,13,198,7
231_208_9,3,1,13,70,9,1,2,10,104,7
231_212_9,3,1,13,70,9,3,1,8,36,7
232_197_9,2,2,13,197,9,6,1,13,198,7
233_195_9,4,1,13,202,7,2,1,10,62,2
233_202_9,4,1,13,202,7,2,2,2,158,2
233_206_9,4,1,13,202,7,1,1,8,164,9
233_208_9,4,1,13,202,7,1,2,10,104,7
233_212_9,4,1,13,202,7,3,1,8,36,7
243_235_10,2,2,16,22,2,2,1,9,155,2
243_241_10,2,2,16,22,2,4,2,8,90,7
243_242_10,2,2,16,22,2,3,3,3,6,2
244_238_10,2,2,8,190,7,2,1,15,84,6
245_239_10,2,4,7,63,1,2,2,10,9,7
246_242_10,2,1,10,156,2,3,3,3,6,2
248_235_10,6,1,8,165,7,2,1,9,155,2
248_241_10,6,1,8,165,7,4,2,8,90,7
248_242_10,6,1,8,165,7,3,3,3,6,2
250_237_10,6,4,6,26,2,2,3,7,53,6
250_238_10,6,4,6,26,2,2,1,15,84,6
250_240_10,6,4,6,26,2,4,1,8,90,6
250_241_10,6,4,6,26,2,4,2,8,90,7
250_242_10,6,4,6,26,2,3,3,3,6,2
251_242_10,6,6,7,143,10,3,3,3,6,2
273_268_11,2,2,10,91,2,3,5,4,109,4
274_252_11,3,3,3,52,2,3,1,13,52,2
274_253_11,3,3,3,52,2,4,2,3,182,2
274_263_11,3,3,3,52,2,1,1,3,80,10
274_264_11,3,3,3,52,2,2,1,6,136,2
274_268_11,3,3,3,52,2,3,5,4,109,4
274_269_11,3,3,3,52,2,2,2,7,2,2
275_261_11,2,2,5,203,7,4,1,10,58,2
276_258_11,2,2,10,217,2,6,1,9,190,2
276_260_11,2,2,10,217,2,4,2,10,99,2
276_261_11,2,2,10,217,2,4,1,10,58,2
276_268_11,2,2,10,217,2,3,5,4,109,4
276_270_11,2,2,10,217,2,4,2,10,152,2
277_258_11,2,1,10,218,2,6,1,9,190,2
277_259_11,2,1,10,218,2,2,2,10,109,2
277_260_11,2,1,10,218,2,4,2,10,99,2
277_261_11,2,1,10,218,2,4,1,10,58,2
277_268_11,2,1,10,218,2,3,5,4,109,4
279_256_11,2,3,10,3,2,4,2,4,221,4
279_264_11,2,3,10,3,2,2,1,6,136,2
279_268_11,2,3,10,3,2,3,5,4,109,4
279_269_11,2,3,10,3,2,2,2,7,2,2
279_270_11,2,3,10,3,2,4,2,10,152,2
280_258_11,2,3,10,224,2,6,1,9,190,2
280_260_11,2,3,10,224,2,4,2,10,99,2
280_261_11,2,3,10,224,2,4,1,10,58,2
280_264_11,2,3,10,224,2,2,1,6,136,2
280_270_11,2,3,10,224,2,4,2,10,152,2
281_265_11,2,6,3,138,2,2,4,1,90,2
281_270_11,2,6,3,138,2,4,2,10,152,2
282_256_11,1,1,5,0,7,4,2,4,221,4
282_258_11,1,1,5,0,7,6,1,9,190,2
282_260_11,1,1,5,0,7,4,2,10,99,2
282_263_11,1,1,5,0,7,1,1,3,80,10
282_264_11,1,1,5,0,7,2,1,6,136,2
282_270_11,1,1,5,0,7,4,2,10,152,2
282_271_11,1,1,5,0,7,2,2,11,90,11
283_258_11,4,1,5,178,7,6,1,9,190,2
283_269_11,4,1,5,178,7,2,2,7,2,2
284_258_11,2,1,8,147,6,6,1,9,190,2
285_253_11,6,4,5,124,7,4,2,3,182,2
285_260_11,6,4,5,124,7,4,2,10,99,2
288_263_11,2,1,3,197,2,1,1,3,80,10
288_266_11,2,1,3,197,2,2,2,16,105,10
288_268_11,2,1,3,197,2,3,5,4,109,4
288_269_11,2,1,3,197,2,2,2,7,2,2
289_256_11,4,1,8,133,7,4,2,4,221,4
289_263_11,4,1,8,133,7,1,1,3,80,10
289_266_11,4,1,8,133,7,2,2,16,105,10
289_268_11,4,1,8,133,7,3,5,4,109,4
289_269_11,4,1,8,133,7,2,2,7,2,2
290_263_11,2,2,10,143,2,1,1,3,80,10
290_268_11,2,2,10,143,2,3,5,4,109,4
291_252_11,4,1,10,2,4,3,1,13,52,2
291_260_11,4,1,10,2,4,4,2,10,99,2
291_261_11,4,1,10,2,4,4,1,10,58,2
291_266_11,4,1,10,2,4,2,2,16,105,10
291_269_11,4,1,10,2,4,2,2,7,2,2
292_258_11,1,1,13,36,7,6,1,9,190,2
292_263_11,1,1,13,36,7,1,1,3,80,10
292_266_11,1,1,13,36,7,2,2,16,105,10
292_268_11,1,1,13,36,7,3,5,4,109,4
293_268_11,3,2,8,25,7,3,5,4,109,4
293_271_11,3,2,8,25,7,2,2,11,90,11
308_297_12,4,1,9,183,2,2,2,9,109,2
309_301_12,2,3,9,8,2,2,2,9,197,2
309_305_12,2,3,9,8,2,4,1,9,140,2
310_297_12,2,1,5,79,10,2,2,9,109,2
311_301_12,4,2,8,90,7,2,2,9,197,2
312_307_12,2,2,15,8,6,4,5,9,68,2
313_303_12,2,1,8,178,6,2,4,9,80,2
315_305_12,2,3,5,23,2,4,1,9,140,2
315_306_12,2,3,5,23,2,4,1,9,161,2
316_294_12,2,2,8,98,7,4,1,9,36,2
316_296_12,2,2,8,98,7,2,1,9,90,2
316_297_12,2,2,8,98,7,2,2,9,109,2
316_299_12,2,2,8,98,7,4,2,11,67,2
316_300_12,2,2,8,98,7,2,2,3,193,2
316_307_12,2,2,8,98,7,4,5,9,68,2
317_296_12,2,1,8,39,7,2,1,9,90,2
317_304_12,2,1,8,39,7,2,1,3,92,12
317_307_12,2,1,8,39,7,4,5,9,68,2
319_296_12,2,6,9,2,2,2,1,9,90,2
319_297_12,2,6,9,2,2,2,2,9,109,2
319_300_12,2,6,9,2,2,2,2,3,193,2
332_323_13,4,3,3,82,2,4,2,5,161,2
332_324_13,4,3,3,82,2,2,1,3,223,3
333_323_13,2,1,8,196,7,4,2,5,161,2
333_330_13,2,1,8,196,7,4,1,5,162,10
335_324_13,2,1,3,69,2,2,1,3,223,3
336_324_13,3,1,17,30,17,2,1,3,223,3
337_322_13,2,1,5,107,5,4,2,3,126,2
337_325_13,2,1,5,107,5,3,2,3,90,3
337_326_13,2,1,5,107,5,1,2,9,17,2
338_325_13,6,1,5,228,7,3,2,3,90,3
338_326_13,6,1,5,228,7,1,2,9,17,2
361_343_14,2,2,1,226,1,2,3,10,90,4
362_343_14,2,1,1,207,1,2,3,10,90,4
362_349_14,2,1,1,207,1,2,1,3,90,7
362_351_14,2,1,1,207,1,4,2,9,161,2
362_354_14,2,1,1,207,1,2,1,3,205,3
362_359_14,2,1,1,207,1,2,2,6,133,9
363_348_14,4,3,5,15,7,4,2,9,112,2
363_352_14,4,3,5,15,7,6,2,9,161,6
364_344_14,3,3,8,30,7,3,3,13,85,9
364_345_14,3,3,8,30,7,2,2,10,186,4
364_351_14,3,3,8,30,7,4,2,9,161,2
364_352_14,3,3,8,30,7,6,2,9,161,6
364_354_14,3,3,8,30,7,2,1,3,205,3
364_360_14,3,3,8,30,7,6,2,3,122,3
365_354_14,2,1,8,219,10,2,1,3,205,3
366_341_14,2,1,8,66,6,4,1,13,2,10
366_344_14,2,1,8,66,6,3,3,13,85,9
366_345_14,2,1,8,66,6,2,2,10,186,4
366_349_14,2,1,8,66,6,2,1,3,90,7
366_350_14,2,1,8,66,6,2,2,10,2,4
366_354_14,2,1,8,66,6,2,1,3,205,3
366_355_14,2,1,8,66,6,2,1,3,79,3
366_358_14,2,1,8,66,6,4,1,8,19,7
366_359_14,2,1,8,66,6,2,2,6,133,9
367_342_14,2,3,13,216,13,3,1,9,77,2
367_349_14,2,3,13,216,13,2,1,3,90,7
367_356_14,2,3,13,216,13,2,1,3,159,3
368_341_14,6,1,13,7,6,4,1,13,2,10
368_345_14,6,1,13,7,6,2,2,10,186,4
368_349_14,6,1,13,7,6,2,1,3,90,7
368_350_14,6,1,13,7,6,2,2,10,2,4
368_354_14,6,1,13,7,6,2,1,3,205,3
368_357_14,6,1,13,7,6,4,1,9,181,2
369_344_14,2,2,3,155,3,3,3,13,85,9
369_345_14,2,2,3,155,3,2,2,10,186,4
369_351_14,2,2,3,155,3,4,2,9,161,2
369_352_14,2,2,3,155,3,6,2,9,161,6
369_353_14,2,2,3,155,3,4,1,9,161,2
369_354_14,2,2,3,155,3,2,1,3,205,3
369_359_14,2,2,3,155,3,2,2,6,133,9
369_360_14,2,2,3,155,3,6,2,3,122,3
371_341_14,2,5,8,27,9,4,1,13,2,10
371_349_14,2,5,8,27,9,2,1,3,90,7
371_354_14,2,5,8,27,9,2,1,3,205,3
371_360_14,2,5,8,27,9,6,2,3,122,3
372_349_14,2,2,8,187,10,2,1,3,90,7
372_354_14,2,2,8,187,10,2,1,3,205,3
373_349_14,3,2,8,141,7,2,1,3,90,7
373_350_14,3,2,8,141,7,2,2,10,2,4
373_351_14,3,2,8,141,7,4,2,9,161,2
374_357_14,4,2,8,13,7,4,1,9,181,2
375_349_14,2,1,8,210,1,2,1,3,90,7
375_351_14,2,1,8,210,1,4,2,9,161,2
375_360_14,2,1,8,210,1,6,2,3,122,3
376_357_14,4,2,8,40,10,4,1,9,181,2
376_358_14,4,2,8,40,10,4,1,8,19,7
377_344_14,4,1,8,89,7,3,3,13,85,9
397_383_15,2,2,1,2,1,2,3,9,41,7
397_386_15,2,2,1,2,1,2,2,3,90,3
397_393_15,2,2,1,2,1,2,1,6,114,6
398_384_15,2,2,8,39,7,2,2,9,218,10
398_385_15,2,2,8,39,7,2,2,9,174,2
398_387_15,2,2,8,39,7,2,2,3,2,3
398_389_15,2,2,8,39,7,2,2,1,123,1
398_392_15,2,2,8,39,7,2,5,6,189,6
398_393_15,2,2,8,39,7,2,1,6,114,6
399_388_15,2,2,8,27,7,2,2,3,131,3
400_379_15,2,5,8,39,7,2,2,8,75,7
400_383_15,2,5,8,39,7,2,3,9,41,7
400_384_15,2,5,8,39,7,2,2,9,218,10
400_387_15,2,5,8,39,7,2,2,3,2,3
400_389_15,2,5,8,39,7,2,2,1,123,1
400_395_15,2,5,8,39,7,2,3,6,113,6
401_389_15,2,2,8,200,7,2,2,1,123,1
402_379_15,4,3,2,42,7,2,2,8,75,7
403_393_15,2,5,5,151,7,2,1,6,114,6
404_382_15,2,2,5,219,7,2,2,14,36,6
404_383_15,2,2,5,219,7,2,3,9,41,7
404_384_15,2,2,5,219,7,2,2,9,218,10
404_385_15,2,2,5,219,7,2,2,9,174,2
404_387_15,2,2,5,219,7,2,2,3,2,3
404_389_15,2,2,5,219,7,2,2,1,123,1
404_390_15,2,2,5,219,7,4,6,9,48,2
404_392_15,2,2,5,219,7,2,5,6,189,6
404_394_15,2,2,5,219,7,2,2,6,153,6
406_380_15,4,1,8,146,7,1,2,14,27,6
406_382_15,4,1,8,146,7,2,2,14,36,6
406_385_15,4,1,8,146,7,2,2,9,174,2
406_393_15,4,1,8,146,7,2,1,6,114,6
406_395_15,4,1,8,146,7,2,3,6,113,6
407_384_15,2,3,14,2,6,2,2,9,218,10
407_387_15,2,3,14,2,6,2,2,3,2,3
408_382_15,3,2,13,8,9,2,2,14,36,6
408_385_15,3,2,13,8,9,2,2,9,174,2
408_387_15,3,2,13,8,9,2,2,3,2,3
408_389_15,3,2,13,8,9,2,2,1,123,1
408_396_15,3,2,13,8,9,4,2,15,51,6
409_380_15,2,2,5,101,2,1,2,14,27,6
409_381_15,2,2,5,101,2,2,5,14,133,6
409_384_15,2,2,5,101,2,2,2,9,218,10
409_385_15,2,2,5,101,2,2,2,9,174,2
409_389_15,2,2,5,101,2,2,2,1,123,1
410_385_15,2,1,8,125,7,2,2,9,174,2
410_389_15,2,1,8,125,7,2,2,1,123,1
410_391_15,2,1,8,125,7,2,1,6,67,6
411_387_15,2,3,8,130,7,2,2,3,2,3
412_383_15,2,1,8,2,7,2,3,9,41,7
412_384_15,2,1,8,2,7,2,2,9,218,10
412_386_15,2,1,8,2,7,2,2,3,90,3
412_387_15,2,1,8,2,7,2,2,3,2,3
413_389_15,2,1,8,87,8,2,2,1,123,1
414_381_15,2,6,8,2,7,2,5,14,133,6
414_382_15,2,6,8,2,7,2,2,14,36,6
414_384_15,2,6,8,2,7,2,2,9,218,10
414_385_15,2,6,8,2,7,2,2,9,174,2
414_387_15,2,6,8,2,7,2,2,3,2,3
414_390_15,2,6,8,2,7,4,6,9,48,2
414_393_15,2,6,8,2,7,2,1,6,114,6
414_396_15,2,6,8,2,7,4,2,15,51,6
415_390_15,2,1,8,154,7,4,6,9,48,2
422_416_16,2,2,8,78,7,3,6,3,30,3
422_417_16,2,2,8,78,7,2,1,3,14,3
422_419_16,2,2,8,78,7,2,4,11,32,11
422_420_16,2,2,8,78,7,2,5,11,149,11
423_416_16,2,2,8,150,7,3,6,3,30,3
423_421_16,2,2,8,150,7,4,1,11,133,11
424_416_16,4,2,5,72,2,3,6,3,30,3
424_420_16,4,2,5,72,2,2,5,11,149,11
426_416_16,2,2,8,2,13,3,6,3,30,3
428_416_16,4,3,8,90,7,3,6,3,30,3
428_421_16,4,3,8,90,7,4,1,11,133,11
429_416_16,2,2,8,102,7,3,6,3,30,3
441_435_17,2,2,1,178,1,1,1,1,2,1
441_437_17,2,2,1,178,1,2,1,11,100,11
442_431_17,2,4,1,54,1,4,2,9,29,7
442_432_17,2,4,1,54,1,2,4,11,213,11
442_433_17,2,4,1,54,1,6,2,15,47,6
442_437_17,2,4,1,54,1,2,1,11,100,11
445_432_17,2,2,13,169,9,2,4,11,213,11
